Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Properties\Resources.Designer.cs,95,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap btShowFoldingLines_Image
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Properties\Resources.Designer.cs,86,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""btInvisibleChars.Image"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Properties\Resources.Designer.cs,85,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap btInvisibleChars_Image
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Properties\Resources.Designer.cs,76,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""15411"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Properties\Resources.Designer.cs,75,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap _15411
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Properties\Resources.Designer.cs,66,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""1541"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Properties\Resources.Designer.cs,65,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap _1541
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Helpers\InvisibleCharsRenderer.cs,14,8,T:System.Drawing.Graphics,,,,,"public override void Draw(Graphics gr, Point position, Range range)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Helpers\InvisibleCharsRenderer.cs,34,24,T:System.Drawing.Font,,,,,"gr.DrawString(""¶"", tb.Font, brush, point);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Helpers\InvisibleCharsRenderer.cs,34,24,"M:System.Drawing.Graphics.DrawString(System.String,System.Drawing.Font,System.Drawing.Brush,System.Drawing.PointF)",,,,,"gr.DrawString(""¶"", tb.Font, brush, point);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Helpers\InvisibleCharsRenderer.cs,26,28,T:System.Drawing.Pen,,,,,"gr.DrawLine(pen, point.X, point.Y, point.X + 1, point.Y);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Helpers\InvisibleCharsRenderer.cs,26,28,"M:System.Drawing.Graphics.DrawLine(System.Drawing.Pen,System.Int32,System.Int32,System.Int32,System.Int32)",,,,,"gr.DrawLine(pen, point.X, point.Y, point.X + 1, point.Y);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Helpers\InvisibleCharsRenderer.cs,17,12,T:System.Drawing.Pen,,,,,"using (Brush brush = new SolidBrush(pen.Color))              {                  foreach (Place place in range)                  {                      switch (tb[place].c)                      {                          case ' ':                              Point point = tb.PlaceToPoint(place);                              point.Offset(tb.CharWidth / 2, tb.CharHeight / 2);                              gr.DrawLine(pen, point.X, point.Y, point.X + 1, point.Y);                              break;                      }                        if (tb[place.iLine].Count - 1 == place.iChar)                      {                          Point point = tb.PlaceToPoint(place);                          point.Offset(tb.CharWidth, 0);                          gr.DrawString(""¶"", tb.Font, brush, point);                      }                  }              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Helpers\InvisibleCharsRenderer.cs,17,12,P:System.Drawing.Pen.Color,,,,,"using (Brush brush = new SolidBrush(pen.Color))              {                  foreach (Place place in range)                  {                      switch (tb[place].c)                      {                          case ' ':                              Point point = tb.PlaceToPoint(place);                              point.Offset(tb.CharWidth / 2, tb.CharHeight / 2);                              gr.DrawLine(pen, point.X, point.Y, point.X + 1, point.Y);                              break;                      }                        if (tb[place.iLine].Count - 1 == place.iChar)                      {                          Point point = tb.PlaceToPoint(place);                          point.Offset(tb.CharWidth, 0);                          gr.DrawString(""¶"", tb.Font, brush, point);                      }                  }              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Helpers\InvisibleCharsRenderer.cs,17,12,T:System.Drawing.SolidBrush,,,,,"using (Brush brush = new SolidBrush(pen.Color))              {                  foreach (Place place in range)                  {                      switch (tb[place].c)                      {                          case ' ':                              Point point = tb.PlaceToPoint(place);                              point.Offset(tb.CharWidth / 2, tb.CharHeight / 2);                              gr.DrawLine(pen, point.X, point.Y, point.X + 1, point.Y);                              break;                      }                        if (tb[place.iLine].Count - 1 == place.iChar)                      {                          Point point = tb.PlaceToPoint(place);                          point.Offset(tb.CharWidth, 0);                          gr.DrawString(""¶"", tb.Font, brush, point);                      }                  }              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Helpers\InvisibleCharsRenderer.cs,17,12,M:System.Drawing.SolidBrush.#ctor(System.Drawing.Color),,,,,"using (Brush brush = new SolidBrush(pen.Color))              {                  foreach (Place place in range)                  {                      switch (tb[place].c)                      {                          case ' ':                              Point point = tb.PlaceToPoint(place);                              point.Offset(tb.CharWidth / 2, tb.CharHeight / 2);                              gr.DrawLine(pen, point.X, point.Y, point.X + 1, point.Y);                              break;                      }                        if (tb[place.iLine].Count - 1 == place.iChar)                      {                          Point point = tb.PlaceToPoint(place);                          point.Offset(tb.CharWidth, 0);                          gr.DrawString(""¶"", tb.Font, brush, point);                      }                  }              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Helpers\InvisibleCharsRenderer.cs,9,8,T:System.Drawing.Pen,,,,,public InvisibleCharsRenderer(Pen pen)          {              this.pen = pen;          }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Helpers\InvisibleCharsRenderer.cs,11,12,T:System.Drawing.Pen,,,,,this.pen = pen;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Helpers\InvisibleCharsRenderer.cs,7,12,T:System.Drawing.Pen,,,,,pen
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Helpers\InvisibleCharsRenderer.cs,9,8,T:System.Drawing.Pen,,,,,public InvisibleCharsRenderer(Pen pen)          {              this.pen = pen;          }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Helpers\InvisibleCharsRenderer.cs,11,12,T:System.Drawing.Pen,,,,,this.pen = pen;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Program.cs,15,12,T:System.Windows.Forms.Application,,,,,Application.Run(new MainForm());
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Program.cs,15,12,M:System.Windows.Forms.Application.Run(System.Windows.Forms.Form),,,,,Application.Run(new MainForm());
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Program.cs,14,12,T:System.Windows.Forms.Application,,,,,Application.SetCompatibleTextRenderingDefault(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Program.cs,14,12,M:System.Windows.Forms.Application.SetCompatibleTextRenderingDefault(System.Boolean),,,,,Application.SetCompatibleTextRenderingDefault(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Program.cs,13,12,T:System.Windows.Forms.Application,,,,,Application.EnableVisualStyles();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Program.cs,13,12,M:System.Windows.Forms.Application.EnableVisualStyles,,,,,Application.EnableVisualStyles();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Forms\ProjectSettings.Designer.cs,399,45,T:System.Windows.Forms.TextBox,,,,,outputFileTextBox
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Forms\ProjectSettings.Designer.cs,398,45,T:System.Windows.Forms.TextBox,,,,,outputPathTextBox
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Forms\ProjectSettings.Designer.cs,397,45,T:System.Windows.Forms.TextBox,,,,,versionTextBox
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Forms\ProjectSettings.Designer.cs,396,46,T:System.Windows.Forms.CheckBox,,,,,optimiseCodeCheckBox
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Forms\ProjectSettings.Designer.cs,395,54,T:System.Windows.Forms.TableLayoutPanel,,,,,tableLayoutPanel3
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Forms\ProjectSettings.Designer.cs,394,46,T:System.Windows.Forms.ComboBox,,,,,TargetPlatformComboBox
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Forms\ProjectSettings.Designer.cs,393,47,T:System.Windows.Forms.ImageList,,,,,targetPlatformImageList
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Forms\ProjectSettings.Designer.cs,392,43,T:System.Windows.Forms.Label,,,,,workingDirLabel
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Forms\ProjectSettings.Designer.cs,391,44,T:System.Windows.Forms.Button,,,,,setWorkingDirButton
